cod,qty_solicitada,cod_status,transf_idx,lot_id_origem,lote_origem_nome,location_id_origem,qty_pretendida,qty_movida,transf_status,tempo_ms_transf
104000015,26521.94889,EXECUTADO_TOTAL,26,57576,P-15/05,8,9415.008954999996,9415.008954999996,EXECUTADO,1535
210010347,28420.0,EXECUTADO_TOTAL,1,13930,24843,8,28420.0,28420.0,EXECUTADO,1468
209000450,28916.0,EXECUTADO_TOTAL,1,59634,13201,8,28478.0,28478.0,EXECUTADO,1786
209000450,28916.0,EXECUTADO_TOTAL,2,59708,13227,8,237.0,237.0,EXECUTADO,1572
209000450,28916.0,EXECUTADO_TOTAL,3,59719,13228,8,201.0,201.0,EXECUTADO,1616
210030333,29800.0,EXECUTADO_TOTAL,1,59664,13203,8,7008.0,7008.0,EXECUTADO,1611
210030333,29800.0,EXECUTADO_TOTAL,2,59300,13219,8,1024.0,1024.0,EXECUTADO,1576
210030333,29800.0,EXECUTADO_TOTAL,3,59482,13222,8,2816.0,2816.0,EXECUTADO,1612
210030333,29800.0,EXECUTADO_TOTAL,4,59739,13225,8,3584.0,3584.0,EXECUTADO,1568
210030333,29800.0,EXECUTADO_TOTAL,5,59805,13229,8,688.0,688.0,EXECUTADO,1512
210030333,29800.0,EXECUTADO_TOTAL,6,55425,26198,8,14680.0,14680.0,EXECUTADO,-1357
301100014,31180.264,EXECUTADO_PARCIAL,1,55997,138/26,48,6587.52,6587.52,EXECUTADO,1808
301100014,31180.264,EXECUTADO_PARCIAL,2,55997,138/26,8,3565.48,3565.48,EXECUTADO,1538
301100014,31180.264,EXECUTADO_PARCIAL,3,55997,138/26,4066,12.6,12.6,EXECUTADO,1559
301100014,31180.264,EXECUTADO_PARCIAL,4,56000,139/26,4068,213.84,213.84,EXECUTADO,1516
301100014,31180.264,EXECUTADO_PARCIAL,5,58306,140/26,8,6594.0,6594.0,EXECUTADO,1545
301100014,31180.264,EXECUTADO_PARCIAL,6,56008,141/26,8,2110.284,2110.284,EXECUTADO,2767
301100014,31180.264,EXECUTADO_PARCIAL,7,59257,142/26,8,8842.32,8842.32,EXECUTADO,1600
301100014,31180.264,EXECUTADO_PARCIAL,8,59257,142/26,4066,1180.2,1180.2,EXECUTADO,1574
301100014,31180.264,EXECUTADO_PARCIAL,9,59257,142/26,4068,105.0,105.0,EXECUTADO,1555
210003011,31378.0,EXECUTADO_TOTAL,1,59092,1411/24,8,9152.0,9152.0,EXECUTADO,1342
210003011,31378.0,EXECUTADO_TOTAL,2,20796,79541,8,22226.0,22226.0,EXECUTADO,1402
210030002,31965.0,EXECUTADO_TOTAL,1,35385,151/25,8,17561.0,17561.0,EXECUTADO,1595
210030002,31965.0,EXECUTADO_TOTAL,2,43085,311,8,14404.0,14404.0,EXECUTADO,1589
209000110,33528.0,EXECUTADO_TOTAL,1,59627,13201,8,26064.0,26064.0,EXECUTADO,1480
209000110,33528.0,EXECUTADO_TOTAL,2,28309,5114943980,8,7464.0,7464.0,EXECUTADO,1443
206901619,34644.0,EXECUTADO_TOTAL,1,59596,13210,8,34644.0,34644.0,EXECUTADO,1288
210030330,36164.0,EXECUTADO_TOTAL,1,59662,13203,8,36164.0,36164.0,EXECUTADO,1474
209039900,43184.0,EXECUTADO_TOTAL,1,59640,13201,8,12074.0,12074.0,EXECUTADO,1486
209039900,43184.0,EXECUTADO_TOTAL,2,59089,25777,8,31110.0,31110.0,EXECUTADO,1505
210030203,43478.0,EXECUTADO_TOTAL,1,59788,13233,8,616.0,616.0,EXECUTADO,-1268
210030203,43478.0,EXECUTADO_TOTAL,2,40150,549802,8,31688.0,31688.0,EXECUTADO,1593
210030203,43478.0,EXECUTADO_TOTAL,3,46377,567738,8,11174.0,11174.0,EXECUTADO,1616
3800009,44748.0,EXECUTADO_TOTAL,1,59612,13213,8,41598.0,41598.0,EXECUTADO,1757
3800009,44748.0,EXECUTADO_TOTAL,2,59071,315/25,8,3150.0,3150.0,EXECUTADO,1482
209049900,46098.0,EXECUTADO_TOTAL,1,59090,"24808, 0212/24",8,46098.0,46098.0,EXECUTADO,1516
207901619,47836.0,EXECUTADO_TOTAL,1,33024,104/25,8,38872.0,38872.0,EXECUTADO,1318
207901619,47836.0,EXECUTADO_TOTAL,2,59602,13211,8,8964.0,8964.0,EXECUTADO,1370
210030327,49742.0,EXECUTADO_TOTAL,1,59660,13203,8,49742.0,49742.0,EXECUTADO,1601
210030427,51036.0,EXECUTADO_TOTAL,1,59667,13203,8,51036.0,51036.0,EXECUTADO,1558
210030100,51493.0,EXECUTADO_TOTAL,1,59299,13219,8,1024.0,1024.0,EXECUTADO,1606
210030100,51493.0,EXECUTADO_TOTAL,2,59481,13222,8,2816.0,2816.0,EXECUTADO,1611
210030100,51493.0,EXECUTADO_TOTAL,3,59738,13225,8,3584.0,3584.0,EXECUTADO,1607
210030100,51493.0,EXECUTADO_TOTAL,4,59804,13229,8,688.0,688.0,EXECUTADO,1585
210030100,51493.0,EXECUTADO_TOTAL,5,59680,88761,8,9818.0,9818.0,EXECUTADO,1557
210030100,51493.0,EXECUTADO_TOTAL,6,59124,BR1282/25,8,33563.0,33563.0,EXECUTADO,1560
210030001,52488.0,EXECUTADO_TOTAL,1,43059,308,8,17692.0,17692.0,EXECUTADO,1646
210030001,52488.0,EXECUTADO_TOTAL,2,59663,92869,8,34796.0,34796.0,EXECUTADO,1552
209019900,52880.0,EXECUTADO_TOTAL,1,59637,13201,8,4500.0,4500.0,EXECUTADO,1618
209019900,52880.0,EXECUTADO_TOTAL,2,59705,13227,8,948.0,948.0,EXECUTADO,-1337
209019900,52880.0,EXECUTADO_TOTAL,3,59088,251120,8,47432.0,47432.0,EXECUTADO,1588
210030000,53168.0,EXECUTADO_TOTAL,1,55117,111,8,38472.0,38472.0,EXECUTADO,1637
210030000,53168.0,EXECUTADO_TOTAL,2,59301,13219,8,1024.0,1024.0,EXECUTADO,1600
210030000,53168.0,EXECUTADO_TOTAL,3,59483,13222,8,2816.0,2816.0,EXECUTADO,1536
210030000,53168.0,EXECUTADO_TOTAL,4,59740,13225,8,3584.0,3584.0,EXECUTADO,1542
210030000,53168.0,EXECUTADO_TOTAL,5,59806,13229,8,688.0,688.0,EXECUTADO,1476
210030000,53168.0,EXECUTADO_TOTAL,6,44502,332,8,6584.0,6584.0,EXECUTADO,1414
209049913,57571.0,EXECUTADO_TOTAL,1,13929,24875,8,57571.0,57571.0,EXECUTADO,1443
209049912,57766.0,EXECUTADO_TOTAL,1,13928,24874,8,57766.0,57766.0,EXECUTADO,1421
210030326,64570.0,EXECUTADO_TOTAL,1,59098,1610/24,8,64570.0,64570.0,EXECUTADO,1441
210030325,66532.0,EXECUTADO_TOTAL,1,57326,LF/Estoque - 24715,8,34500.0,34500.0,EXECUTADO,1441
210030325,66532.0,EXECUTADO_TOTAL,2,57325,LF/Estoque - MIGRAÇÃO,8,32032.0,32032.0,EXECUTADO,1488
210030322,69018.0,EXECUTADO_TOTAL,1,59656,13203,8,25218.0,25218.0,EXECUTADO,1476
210030322,69018.0,EXECUTADO_TOTAL,2,59789,13233,8,7392.0,7392.0,EXECUTADO,1435
210030322,69018.0,EXECUTADO_TOTAL,3,44760,251041,8,36408.0,36408.0,EXECUTADO,1458
3800016,71290.88,EXECUTADO_TOTAL,1,59074,082/26,8,1301.115,1301.115,EXECUTADO,1527
3800016,71290.88,EXECUTADO_TOTAL,2,59614,13214,8,69989.765,69989.765,EXECUTADO,1459
210030209,73416.0,EXECUTADO_TOTAL,1,59691,3107,8,72529.0,72529.0,EXECUTADO,1590
210030209,73416.0,EXECUTADO_TOTAL,2,34183,5102874,8,887.0,887.0,EXECUTADO,1554
