lf_move_id,lf_nome,data,valor_insumos_5902,chave,fb_move_id,fb_nome,fb_data,lf_periodo,fb_periodo
187146,VND/2025/00116,2025-03-04,24064.98,35250318467441000163550010000113151001871467,187370,ENTSI/2025/03/0001,2025-03-05,FECHADO,FECHADO
187154,VND/2025/00119,2025-03-04,24064.98,35250318467441000163550010000113201001871548,187504,ENTSI/2025/03/0003,2025-03-05,FECHADO,FECHADO
187152,VND/2025/00118,2025-03-04,13721.41,35250318467441000163550010000113191001871520,188350,ENTSI/2025/03/0004,2025-03-05,FECHADO,FECHADO
187149,VND/2025/00117,2025-03-04,24064.98,35250318467441000163550010000113171001871496,187442,ENTSI/2025/03/0002,2025-03-05,FECHADO,FECHADO
187178,VND/2025/00120,2025-03-05,17465.72,35250318467441000163550010000113221001871780,188385,ENTSI/2025/03/0005,2025-03-05,FECHADO,FECHADO
188514,VND/2025/00121,2025-03-06,1037.02,35250318467441000163550010000113251001885146,191094,ENTSI/2025/03/0011,2025-03-10,FECHADO,FECHADO
189152,VND/2025/00122,2025-03-06,45317.97,35250318467441000163550010000113271001891523,189942,ENTSI/2025/03/0006,2025-03-07,FECHADO,FECHADO
189751,VND/2025/00123,2025-03-07,16919.06,35250318467441000163550010000113281001897510,190839,ENTSI/2025/03/0007,2025-03-10,FECHADO,FECHADO
190383,VND/2025/00126,2025-03-08,18471.63,35250318467441000163550010000113331001903839,191014,ENTSI/2025/03/0009,2025-03-10,FECHADO,FECHADO
190331,VND/2025/00124,2025-03-08,5404.15,35250318467441000163550010000113301001903314,191043,ENTSI/2025/03/0010,2025-03-10,FECHADO,FECHADO
190422,VND/2025/00127,2025-03-08,17032.78,35250318467441000163550010000113361001904225,191122,ENTSI/2025/03/0012,2025-03-10,FECHADO,FECHADO
190431,VND/2025/00128,2025-03-08,17035.76,35250318467441000163550010000113381001904319,191603,ENTSI/2025/03/0013,2025-03-10,FECHADO,FECHADO
190357,VND/2025/00125,2025-03-08,16919.06,35250318467441000163550010000113311001903575,190956,ENTSI/2025/03/0008,2025-03-10,FECHADO,FECHADO
190895,VND/2025/00129,2025-03-10,17035.75,35250318467441000163550010000113401001908959,193475,ENTSI/2025/03/0019,2025-03-12,FECHADO,FECHADO
191763,VND/2025/00130,2025-03-10,48064.87,35250318467441000163550010000113421001917634,192093,ENTSI/2025/03/0014,2025-03-11,FECHADO,FECHADO
192572,VND/2025/00134,2025-03-11,5679.67,35250318467441000163550010000113491001925727,193448,ENTSI/2025/03/0018,2025-03-12,FECHADO,FECHADO
191980,VND/2025/00131,2025-03-11,40752.05,35250318467441000163550010000113441001919801,193369,ENTSI/2025/03/0016,2025-03-12,FECHADO,FECHADO
