47	27	LOTE_E500C9E4	45.543.915/0267-33	REDE CARREFOUR	VCD2519504			\N	\N	110.1	1855.6699999999998	RJ	Duque de Caxias	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
48	27	LOTE_8B74EDAB	15.243.937/0001-65	NANTES	VCD2519360			\N	\N	209.28	2248.3	RJ	Rio de Janeiro	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
49	27	LOTE_20DF468D	45.543.915/0267-33	REDE CARREFOUR	VCD2519505			\N	\N	445.17999999999995	5795.07	RJ	Duque de Caxias	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
50	27	LOTE_B8B9BDC2	54.068.805/0001-04	SUP TOP	VCD2519534			\N	\N	252	2907.52	RJ	São Gonçalo	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
51	27	LOTE_01CBB902	24644512000159	Estrela real distribuidora	np02101			\N	\N	2380.2	34189.799999999996	RJ	Rio de Janeiro	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
52	27	LOTE_9DAA8904	10749165000114	C.D.A. EMPRESA CARIOCA DISTRIBUIDORA DE ALIMENTOS LTDA	NP02098			\N	\N	804	2425.2	RJ	Rio de Janeiro	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
53	27	LOTE_55C82DAD	24644512000159	esrela real distribuidora ltda	np02103			\N	\N	4140	46101.270000000004	RJ	Rio de Janeiro	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
54	27	LOTE_7C636772	24644512000159	estrela real distibuidora ltda	np02099			\N	\N	4950	68622	RJ	Rio de Janeiro	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
55	27	LOTE_92EF2816	7879508000312	GA SUPERMERCADOS LTDA F3	np02100			\N	\N	480	5454	RJ	Rio de Janeiro	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
56	27	LOTE_87403F56	37487599000140	DESC TUDO COMERCIO, DISTRIBUICAO E REPRESENTACAO LTDA	np02102			\N	\N	251.60000000000002	3221.1400000000003	RJ	Rio de Janeiro	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
