67	4360162	AZEITONA VERDE SEM CAROCO - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-5.000	Baixa automática NF 136877 - lote separação LOTE_C308FFBA	2025-07-24 23:55:10.683982	2025-07-24 23:55:10.683992	Sincronização Odoo	\N	t
68	4510161	COGUMELO FATIADO - BD 6X1,01 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-35.000	Baixa automática NF 136877 - lote separação LOTE_C308FFBA	2025-07-24 23:55:10.68566	2025-07-24 23:55:10.685671	Sincronização Odoo	\N	t
69	4759099	OLEO DE SOJA MISTO - GL 4X5,02 L - ST ISABEL	2025-07-24	FATURAMENTO	VENDA	-20.000	Baixa automática NF 136877 - lote separação LOTE_C308FFBA	2025-07-24 23:55:10.687378	2025-07-24 23:55:10.687387	Sincronização Odoo	\N	t
70	4759098	OLEO DE SOJA MISTO - VD 12X500 ML - ST ISABEL	2025-07-24	FATURAMENTO	VENDA	-25.000	Baixa automática NF 136877 - lote separação LOTE_C308FFBA	2025-07-24 23:55:10.689049	2025-07-24 23:55:10.689058	Sincronização Odoo	\N	t
71	4310141	AZEITONA VERDE INTEIRA - SACHE 36X80 G - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-50.000	Baixa automática NF 136877 - lote separação LOTE_C308FFBA	2025-07-24 23:55:10.69072	2025-07-24 23:55:10.690729	Sincronização Odoo	\N	t
72	4360141	AZEITONA VERDE SEM CAROCO - SACHE 36X60 G - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-15.000	Baixa automática NF 136877 - lote separação LOTE_C308FFBA	2025-07-24 23:55:10.692383	2025-07-24 23:55:10.692393	Sincronização Odoo	\N	t
73	4510145	COGUMELO FATIADO - POUCH 30X100 G - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-5.000	Baixa automática NF 136877 - lote separação LOTE_C308FFBA	2025-07-24 23:55:10.69418	2025-07-24 23:55:10.694191	Sincronização Odoo	\N	t
74	4040162	ALCAPARRA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-5.000	Baixa automática NF 136878 - lote separação LOTE_9A00D903	2025-07-24 23:55:10.702341	2025-07-24 23:55:10.702352	Sincronização Odoo	\N	t
75	4320162	AZEITONA VERDE FATIADA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-15.000	Baixa automática NF 136878 - lote separação LOTE_9A00D903	2025-07-24 23:55:10.704094	2025-07-24 23:55:10.704132	Sincronização Odoo	\N	t
76	4310166	AZEITONA VERDE  INTEIRA GRAUDA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-5.000	Baixa automática NF 136878 - lote separação LOTE_9A00D903	2025-07-24 23:55:10.705811	2025-07-24 23:55:10.705821	Sincronização Odoo	\N	t
