96	9015	2025-06-30	2025-07-11	MERCADORIA RECUSADA 	Stephanie Macena Rodrigues Chaves 	2025-11-07 07:48:00
97	10126	2025-07-10	2025-07-11	rota\r\n	Stephanie Macena Rodrigues Chaves 	2025-11-07 15:01:00
98	10124	2025-07-10	2025-07-11	rota	Stephanie Macena Rodrigues Chaves 	2025-11-07 15:01:00
99	10128	2025-07-10	2025-07-11	rota	Stephanie Macena Rodrigues Chaves 	2025-11-07 15:02:00
100	10122	2025-07-10	2025-07-14	rota	Stephanie Macena Rodrigues Chaves 	2025-11-07 15:03:00
101	9530	2025-07-09	2025-07-11	veiculo no local	Stephanie Macena Rodrigues Chaves 	2025-11-07 15:56:00
102	9536	2025-07-09	2025-07-11	veiculo no local	Stephanie Macena Rodrigues Chaves 	2025-11-07 15:57:00
103	9876	2025-07-10	2025-07-15	REAGENDADO	Stephanie Macena Rodrigues Chaves 	2025-11-07 16:06:00
104	9862	2025-07-10	2025-07-15	REAGENDADO	Stephanie Macena Rodrigues Chaves 	2025-11-07 16:07:00
105	10360	\N	2025-07-21	teste	Rafael de Carvalho Nascimento	2025-07-18 13:45:49.892198
106	10153	2025-07-17	2025-07-18	atraso 	Stephanie Macena Rodrigues Chaves 	2025-07-18 14:34:39.423756
107	10253	2025-07-17	2025-07-18	atraso \r\n	Stephanie Macena Rodrigues Chaves 	2025-07-18 14:34:55.896262
108	10252	2025-07-17	2025-07-18	atraso 	Stephanie Macena Rodrigues Chaves 	2025-07-18 14:35:12.410609
109	10255	2025-07-17	2025-07-21	atraso	Stephanie Macena Rodrigues Chaves 	2025-07-18 14:58:23.168315
110	10248	2025-07-17	2025-07-21	atraso	Stephanie Macena Rodrigues Chaves 	2025-07-18 14:58:33.597402
111	10245	2025-07-17	2025-07-21	atraso	Stephanie Macena Rodrigues Chaves 	2025-07-18 14:58:43.390279
112	10144	2025-07-16	2025-07-21	atraso	Stephanie Macena Rodrigues Chaves 	2025-07-18 14:59:01.691844
113	8701	2025-07-17	2025-07-18	No local aguardando 	Stephanie Macena Rodrigues Chaves 	2025-07-18 15:12:12.917685
114	9581	2025-07-14	2025-07-21	Atraso	Stephanie Macena Rodrigues Chaves 	2025-07-18 15:12:45.063455
115	8692	2025-07-11	2025-07-21	atraso\r\n	Stephanie Macena Rodrigues Chaves 	2025-07-18 15:19:41.64207
116	9531	\N	2025-08-06	CLIENTE CANCELOU, DEPOIS MUDOU DE IDEIA 	Stephanie Macena Rodrigues Chaves 	2025-07-21 12:59:35.884032
117	9900	\N	2025-07-24	sem lead time	Stephanie Macena Rodrigues Chaves 	2025-07-22 12:55:10.097009
118	10117	2025-07-21	2025-07-24	veiculo quebrou 	Stephanie Macena Rodrigues Chaves 	2025-07-22 18:07:22.093038
119	10078	2025-07-22	2025-07-24	atraso \r\n	Stephanie Macena Rodrigues Chaves 	2025-07-22 20:23:49.335734
120	10071	2025-07-22	2025-07-24	atraso 	Stephanie Macena Rodrigues Chaves 	2025-07-22 20:24:06.155358
121	10070	2025-07-22	2025-07-23	rota	Stephanie Macena Rodrigues Chaves 	2025-07-22 20:24:29.678783
122	10070	2025-07-23	2025-07-23	rota	Stephanie Macena Rodrigues Chaves 	2025-07-22 20:24:30.697668
123	10079	2025-07-22	2025-07-23	atraso	Stephanie Macena Rodrigues Chaves 	2025-07-22 20:28:04.008741
124	10428	2025-07-22	2025-07-23	EXCESSO DE VEICULOS 	Stephanie Macena Rodrigues Chaves 	2025-07-22 20:29:34.094817
