cod,qty_solicitada,cod_status,transf_idx,lot_id_origem,lote_origem_nome,location_id_origem,qty_pretendida,qty_movida,transf_status,tempo_ms_transf
210003011,31378.0,DRY_RUN_OK,1,59092,1411/24,8,9152.0,9152.0,DRY_RUN_OK,59
210003011,31378.0,DRY_RUN_OK,2,20796,79541,8,22226.0,22226.0,DRY_RUN_OK,51
210030002,31965.0,DRY_RUN_OK,1,35385,151/25,8,17561.0,17561.0,DRY_RUN_OK,48
210030002,31965.0,DRY_RUN_OK,2,43085,311,8,14404.0,14404.0,DRY_RUN_OK,51
209000110,33528.0,DRY_RUN_OK,1,59627,13201,8,26064.0,26064.0,DRY_RUN_OK,53
209000110,33528.0,DRY_RUN_OK,2,28309,5114943980,8,7464.0,7464.0,DRY_RUN_OK,66
206901619,34644.0,DRY_RUN_OK,1,59596,13210,8,34644.0,34644.0,DRY_RUN_OK,53
210030330,36164.0,DRY_RUN_OK,1,59662,13203,8,36164.0,36164.0,DRY_RUN_OK,54
209039900,43184.0,DRY_RUN_OK,1,59640,13201,8,12074.0,12074.0,DRY_RUN_OK,61
209039900,43184.0,DRY_RUN_OK,2,59089,25777,8,31110.0,31110.0,DRY_RUN_OK,60
210030203,43478.0,DRY_RUN_OK,1,59788,13233,8,616.0,616.0,DRY_RUN_OK,56
210030203,43478.0,DRY_RUN_OK,2,40150,549802,8,31688.0,31688.0,DRY_RUN_OK,52
210030203,43478.0,DRY_RUN_OK,3,46377,567738,8,11174.0,11174.0,DRY_RUN_OK,57
3800009,44748.0,DRY_RUN_OK,1,59612,13213,8,41598.0,41598.0,DRY_RUN_OK,58
3800009,44748.0,DRY_RUN_OK,2,59071,315/25,8,3150.0,3150.0,DRY_RUN_OK,54
209049900,46098.0,DRY_RUN_OK,1,59090,"24808, 0212/24",8,46098.0,46098.0,DRY_RUN_OK,53
207901619,47836.0,DRY_RUN_OK,1,33024,104/25,8,38872.0,38872.0,DRY_RUN_OK,51
207901619,47836.0,DRY_RUN_OK,2,59602,13211,8,8964.0,8964.0,DRY_RUN_OK,52
210030327,49742.0,DRY_RUN_OK,1,59660,13203,8,49742.0,49742.0,DRY_RUN_OK,53
210030427,51036.0,DRY_RUN_OK,1,59667,13203,8,51036.0,51036.0,DRY_RUN_OK,53
